Symbol,Description,Quantity,Current Value,target_weight,current_weight,underweight,buy_allocation,price,shares_to_buy,overweight,sell_allocation,shares_to_sell
AAPL,APPLE INC,10.046,2121.31,0.03225806451612903,0.11274430341802891,0.0,0.0,210.76260375976562,0.0,0.08048623890189988,1514.3670967741937,7.19
ADP,AUTOMATIC DATA PROCESSING INC COM,0.62,184.85,0.03225806451612903,0.009824487928130562,0.02243357658799847,184.43572594919866,297.17999267578125,0.62,0.0,0.0,0.0
AMZN,AMAZON.COM INC,1.0,181.22,0.03225806451612903,0.009631559114610876,0.022626505401518157,186.0218736434124,181.88009643554688,1.02,0.0,0.0,0.0
ANET,ARISTA NETWORKS INC COM SHS,100.0,8051.0,0.03225806451612903,0.4278980379192814,0.0,0.0,81.40499877929688,0.0,0.3956399734031524,7444.057096774194,91.44
AVGO,BROADCOM INC COM,1.0,189.95,0.03225806451612903,0.010095544938860699,0.022162519577268332,182.2072539821215,190.91000366210938,0.95,0.0,0.0,0.0
BSX,BOSTON SCIENTIFIC CORP,1.7,173.7,0.03225806451612903,0.009231882894867614,0.023026181621261417,189.307777406632,101.95999908447266,1.86,0.0,0.0,0.0
CDNS,CADENCE DESIGN SYSTEMS INC COM USD0.01,0.61,181.2,0.03225806451612903,0.009630496145941346,0.022627568370187687,186.03061274916567,297.5,0.63,0.0,0.0,0.0
ETN,EATON CORPORATION PLC,0.62,179.24,0.03225806451612903,0.009526325216327411,0.022731739299801622,186.88704511298351,289.8900146484375,0.64,0.0,0.0,0.0
GOOGL,ALPHABET INC CAP STK CL A,10.012,1572.38,0.03225806451612903,0.08356953382977514,0.0,0.0,157.33999633789062,0.0,0.05131146931364611,965.4370967741936,6.14
HD,HOME DEPOT INC,0.51,181.79,0.03225806451612903,0.00966185372169248,0.02259621079443655,185.77280912944494,357.0799865722656,0.52,0.0,0.0,0.0
KO,COCA-COLA CO,2.51,182.03,0.03225806451612903,0.00967460934572684,0.02258345517040219,185.66793986040602,72.2748031616211,2.57,0.0,0.0,0.0
LIN,LINDE PLC COM EUR0.001,0.4,180.81,0.03225806451612903,0.009609768256885512,0.02264829625924352,186.20102531135387,452.3900146484375,0.41,0.0,0.0,0.0
LOW,LOWES COMPANIES INC COM USD0.50,0.82,181.74,0.03225806451612903,0.009659196300018656,0.022598868216110374,185.79465689382803,221.6699981689453,0.84,0.0,0.0,0.0
MA,MASTERCARD INCORPORATED CL A,0.35,189.29,0.03225806451612903,0.010060466972766212,0.02219759754336282,182.49564447197855,540.3099975585938,0.34,0.0,0.0,0.0
META,META PLATFORMS INC CLASS A COMMON STOCK,0.33,177.14,0.03225806451612903,0.009414713506026766,0.022843351010102264,187.80465121707408,541.030029296875,0.35,0.0,0.0,0.0
NVDA,NVIDIA CORPORATION COM,20.001,2125.9,0.03225806451612903,0.11298825472768603,0.0,0.0,107.48999786376953,0.0,0.080730190211557,1518.9570967741936,14.13
PANW,PALO ALTO NETWORKS INC COM USD0.0001,1.0,186.02,0.03225806451612903,0.009886671595298066,0.022371392920830964,183.92448826263387,185.9949951171875,0.99,0.0,0.0,0.0
PEP,PEPSICO INC,1.35,182.61,0.03225806451612903,0.009705435437143209,0.022552629078985822,185.41450579356191,135.44500732421875,1.37,0.0,0.0,0.0
PG,PROCTER AND GAMBLE CO COM,1.12,181.35,0.03225806451612903,0.009638468410962822,0.022619596105166208,185.96506945601627,161.78500366210938,1.15,0.0,0.0,0.0
SNPS,SYNOPSYS INC,0.4,181.25,0.03225806451612903,0.009633153567615172,0.02262491094851386,186.00876498478252,454.8800048828125,0.41,0.0,0.0,0.0
SYK,STRYKER CORPORATION COM,0.5,184.71,0.03225806451612903,0.009817047147443853,0.02244101736868518,184.49689968947135,370.13629150390625,0.5,0.0,0.0,0.0
TJX,TJX COMPANIES INC,1.42,181.28,0.03225806451612903,0.009634748020619466,0.022623316495509565,185.99565632615264,127.45989990234375,1.46,0.0,0.0,0.0
UBER,UBER TECHNOLOGIES INC COM,2.5,199.05,0.03225806451612903,0.010579195683496828,0.021678868832632203,178.23096086439563,80.08399963378906,2.23,0.0,0.0,0.0
V,VISA INC,0.53,181.04,0.03225806451612903,0.009621992396585106,0.022636072119543924,186.10052559519156,340.6400146484375,0.55,0.0,0.0,0.0
WMT,WALMART INC COM,1.89,182.82,0.03225806451612903,0.009716596608173273,0.022541467907955758,185.32274518315288,96.81999969482422,1.91,0.0,0.0,0.0
RSG,REPUBLIC SERVICES INC,0.73,181.31,0.03225806451612903,0.009636342473623761,0.02262172204250527,185.98254766752277,248.0500030517578,0.75,0.0,0.0,0.0
MCO,MOODYS CORP COM USD0.01,0.4,179.26,0.03225806451612903,0.00952738818499694,0.022730676331132092,186.8783060072303,448.4200134277344,0.42,0.0,0.0,0.0
ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,0.3,197.91,0.03225806451612903,0.01051860646933362,0.02173945804679541,178.72908989233053,664.8391723632812,0.27,0.0,0.0,0.0
CTAS,CINTAS CORP,0.87,181.73,0.03225806451612903,0.00965866481568389,0.022599399700445142,185.7990264467047,209.375,0.89,0.0,0.0,0.0
PWR,QUANTA SERVICES COM USD0.00001,0.63,182.35,0.03225806451612903,0.009691616844439319,0.022566447671689714,185.52811416835414,288.6650085449219,0.64,0.0,0.0,0.0
LLY,ELI LILLY &CO COM,0.2,178.99,0.03225806451612903,0.009513038107958288,0.022745026408170742,186.99628393489903,896.114013671875,0.21,0.0,0.0,0.0
