Symbol,Description,Quantity,Current Value,price,target_weight,current_weight,underweight,buy_allocation,shares_to_buy,overweight,sell_allocation_overweight,final_target_value,sell_allocation_final,shares_to_sell
AAPL,APPLE INC,10.046,2001.6654999999998,199.25,0.03225806451612903,0.09960382109804426,0.0,0.0,0.0,0.06734575658191523,1353.3986551452144,164.39587711285006,1837.2696228871498,9.22
ADP,AUTOMATIC DATA PROCESSING INC COM,0.62,189.45340454101563,305.57000732421875,0.03225806451612903,0.009427290929637708,0.022830773586491323,36.96740829803824,0.12,0.0,0.0,164.39587711285006,25.05752742816557,0.08
AMZN,AMAZON.COM INC,1.0,187.44000244140625,187.44000244140625,0.03225806451612903,0.009327103089797376,0.022930961426331657,37.129631657130524,0.2,0.0,0.0,164.39587711285006,23.04412532855619,0.12
ANET,ARISTA NETWORKS INC COM SHS,100.0,9076.000213623047,90.76000213623047,0.03225806451612903,0.4516260591809778,0.0,0.0,0.0,0.41936799466484875,8427.73336876826,164.39587711285006,8911.604336510196,98.19
AVGO,BROADCOM INC COM,1.0,201.83999633789062,201.83999633789062,0.03225806451612903,0.010043653590307256,0.022214410925821777,35.969398745259966,0.18,0.0,0.0,164.39587711285006,37.444119225040566,0.19
BSX,BOSTON SCIENTIFIC CORP,1.7,177.5990020751953,104.47000122070312,0.03225806451612903,0.008837410261549168,0.023420654254579863,37.92253841755601,0.36,0.0,0.0,164.39587711285006,13.203124962345242,0.13
CDNS,CADENCE DESIGN SYSTEMS INC COM USD0.01,0.61,189.2128485107422,310.18499755859375,0.03225806451612903,0.00941532074790484,0.02284274376822419,36.98679032177232,0.12,0.0,0.0,164.39587711285006,24.816971397892132,0.08
ETN,EATON CORPORATION PLC,0.62,186.62310302734375,301.0050048828125,0.03225806451612903,0.009286453788955961,0.022971610727173068,37.19545068404792,0.12,0.0,0.0,164.39587711285006,22.227225914493687,0.07
GOOGL,ALPHABET INC CAP STK CL A,10.012,1649.0856007080079,164.71090698242188,0.03225806451612903,0.08205927870979506,0.0,0.0,0.0,0.049801214193666024,1000.8187558532223,164.39587711285006,1484.6897235951578,9.01
HD,HOME DEPOT INC,0.51,185.43600311279297,363.6000061035156,0.03225806451612903,0.009227383136284765,0.023030681379844264,37.29109741837583,0.1,0.0,0.0,164.39587711285006,21.040125999942916,0.06
KO,COCA-COLA CO,2.51,179.82894157409666,71.6449966430664,0.03225806451612903,0.008948373104695553,0.023309691411433478,37.7428682582001,0.53,0.0,0.0,164.39587711285006,15.433064461246602,0.22
LIN,LINDE PLC COM EUR0.001,0.4,182.04399414062502,455.1099853515625,0.03225806451612903,0.009058595167052753,0.02319946934907628,37.564397565248136,0.08,0.0,0.0,164.39587711285006,17.64811702777496,0.04
LOW,LOWES COMPANIES INC COM USD0.50,0.82,186.16049499511718,227.02499389648438,0.03225806451612903,0.009263434194682885,0.022994630321446146,37.23272382931057,0.16,0.0,0.0,164.39587711285006,21.764617882267117,0.1
MA,MASTERCARD INCORPORATED CL A,0.35,196.87850341796874,562.510009765625,0.03225806451612903,0.009796767358229461,0.02246129715789957,36.369154982595,0.06,0.0,0.0,164.39587711285006,32.482626305118686,0.06
META,META PLATFORMS INC CLASS A COMMON STOCK,0.33,198.1979919433594,600.5999755859375,0.03225806451612903,0.009862425730731728,0.022395638785397305,36.262841464339445,0.06,0.0,0.0,164.39587711285006,33.80211483050934,0.06
NVDA,NVIDIA CORPORATION COM,20.001,2277.6118912582397,113.8749008178711,0.03225806451612903,0.11333504391601092,0.0,0.0,0.0,0.08107697939988188,1629.345046403454,164.39587711285006,2113.2160141453896,18.56
PANW,PALO ALTO NETWORKS INC COM USD0.0001,1.0,190.35000610351562,190.35000610351562,0.03225806451612903,0.009471906247045875,0.022786158269083156,36.895167528415335,0.19,0.0,0.0,164.39587711285006,25.954128990665566,0.14
PEP,PEPSICO INC,1.35,179.49600906372072,132.9600067138672,0.03225806451612903,0.008931806225663464,0.023326258290465567,37.76969321790124,0.28,0.0,0.0,164.39587711285006,15.100131950870662,0.11
PG,PROCTER AND GAMBLE CO COM,1.12,178.27039794921876,159.1699981689453,0.03225806451612903,0.008870819237485556,0.023387245278643477,37.86844286754843,0.24,0.0,0.0,164.39587711285006,13.874520836368703,0.09
SNPS,SYNOPSYS INC,0.4,192.2219970703125,480.55499267578125,0.03225806451612903,0.0095650574020985,0.02269300711403053,36.74433791376304,0.08,0.0,0.0,164.39587711285006,27.826119957462453,0.06
SYK,STRYKER CORPORATION COM,0.5,190.39999389648438,380.79998779296875,0.03225806451612903,0.009474393663244008,0.022783670852885025,36.891139923750295,0.1,0.0,0.0,164.39587711285006,26.004116783634316,0.07
TJX,TJX COMPANIES INC,1.42,184.1882095336914,129.7100067138672,0.03225806451612903,0.00916529233818682,0.02309277217794221,37.39163434832882,0.29,0.0,0.0,164.39587711285006,19.792332420841348,0.15
UBER,UBER TECHNOLOGIES INC COM,2.5,215.12500762939453,86.05000305175781,0.03225806451612903,0.010704722029546705,0.021553342486582326,34.89900194886007,0.41,0.0,0.0,164.39587711285006,50.72913051654447,0.59
V,VISA INC,0.53,185.45230194091798,349.9100036621094,0.03225806451612903,0.009228194173673715,0.023029870342455315,37.289784193040354,0.11,0.0,0.0,164.39587711285006,21.056424828067918,0.06
WMT,WALMART INC COM,1.89,187.99867721557615,99.47019958496094,0.03225806451612903,0.00935490301054258,0.022903161505586453,37.08461824499415,0.37,0.0,0.0,164.39587711285006,23.602800102726093,0.24
RSG,REPUBLIC SERVICES INC,0.73,183.2847477722168,251.0749969482422,0.03225806451612903,0.009120335654036126,0.023137728862092907,37.464427856285475,0.15,0.0,0.0,164.39587711285006,18.888870659366745,0.08
MCO,MOODYS CORP COM USD0.01,0.4,186.63399658203127,466.5849914550781,0.03225806451612903,0.009286995857384586,0.022971068658744445,37.19457297112898,0.08,0.0,0.0,164.39587711285006,22.238119469181214,0.05
ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,0.3,206.1030029296875,687.010009765625,0.03225806451612903,0.010255782812651907,0.022002281703477122,35.62592078361086,0.05,0.0,0.0,164.39587711285006,41.70712581683745,0.06
CTAS,CINTAS CORP,0.87,184.72710159301758,212.3300018310547,0.03225806451612903,0.00919210786169376,0.023065956654435272,37.34821486442692,0.18,0.0,0.0,164.39587711285006,20.33122448016752,0.1
PWR,QUANTA SERVICES COM USD0.00001,0.63,202.78125,321.875,0.03225806451612903,0.010090490817290796,0.022167573698838233,35.893560277198894,0.11,0.0,0.0,164.39587711285006,38.38537288714994,0.12
LLY,ELI LILLY &CO COM,0.2,164.16199951171876,820.8099975585938,0.03225806451612903,0.008168778664798123,0.02408928585133091,39.005181418872894,0.05,0.0,0.0,164.39587711285006,-0.2338776011312973,-0.0
