Symbol,Description,Quantity,Last Price,Current Value,price,target_weight,current_weight,underweight,buy_allocation,shares_to_buy,overweight,sell_allocation_overweight,shares_to_sell
AAPL,APPLE INC,10.046,$211.2898,2119.305147186279,210.96009826660156,0.03225806451612903,0.09992948999459027,0.0,0.0,0.0,0.06767142547846124,1435.1759459765033,6.8
ADP,AUTOMATIC DATA PROCESSING INC COM,0.62,$309.99,192.045,309.75,0.03225806451612903,0.009055307080950656,0.023202757435178377,1860.6588566268158,6.01,0.0,0.0,0.0
AMZN,AMAZON.COM INC,1.0,$213.31,213.77999877929688,213.77999877929688,0.03225806451612903,0.010080155883838631,0.0221779086322904,1778.4749176219711,8.32,0.0,0.0,0.0
ANET,ARISTA NETWORKS INC COM SHS,100.0,$95.1975,9651.99966430664,96.5199966430664,0.03225806451612903,0.4551111505403905,0.0,0.0,0.0,0.4228530860242614,8967.870463096864,92.91
AVGO,BROADCOM INC COM,1.0,$231.103,231.1999969482422,231.1999969482422,0.03225806451612903,0.010901543750064765,0.021356520766064264,1712.6067718945012,7.41,0.0,0.0,0.0
BSX,BOSTON SCIENTIFIC CORP,1.7,$102.9301,175.28700103759766,103.11000061035156,0.03225806451612903,0.008265133805589124,0.023992930710539907,1924.023864306557,18.66,0.0,0.0,0.0
CDNS,CADENCE DESIGN SYSTEMS INC COM USD0.01,0.61,$316.38,193.47979553222655,317.17999267578125,0.03225806451612903,0.009122960569157523,0.02313510394697151,1855.2336366991638,5.85,0.0,0.0,0.0
ETN,EATON CORPORATION PLC,0.62,$330.69,205.84620605468749,332.010009765625,0.03225806451612903,0.009706061638021504,0.022552002878107526,1808.4740146533197,5.45,0.0,0.0,0.0
GOOGL,ALPHABET INC CAP STK CL A,10.012,$159.62,1600.6685,159.875,0.03225806451612903,0.075474731455152,0.0,0.0,0.0,0.04321666693902297,916.539298790224,5.73
HD,HOME DEPOT INC,0.51,$376.5916,191.25918273925782,375.01800537109375,0.03225806451612903,0.009018254220394373,0.02323981029573466,1863.6301730037596,4.97,0.0,0.0,0.0
KO,COCA-COLA CO,2.51,$68.995,173.56650382995605,69.1500015258789,0.03225806451612903,0.00818400891013695,0.02407405560599208,1930.529373646889,27.92,0.0,0.0,0.0
LIN,LINDE PLC COM EUR0.001,0.4,$455.495,181.74000244140626,454.3500061035156,0.03225806451612903,0.00856940576947932,0.023688658746649712,1899.6239055509147,4.18,0.0,0.0,0.0
LOW,LOWES COMPANIES INC COM USD0.50,0.82,$232.28,189.54709899902343,231.15499877929688,0.03225806451612903,0.008937526036811748,0.023320538479317282,1870.1038695108252,8.09,0.0,0.0,0.0
MA,MASTERCARD INCORPORATED CL A,0.35,$578.795,201.91500854492188,576.9000244140625,0.03225806451612903,0.009520697787638541,0.022737366728490492,1823.338579387794,3.16,0.0,0.0,0.0
META,META PLATFORMS INC CLASS A COMMON STOCK,0.33,$658.43,217.20930725097656,658.2100219726562,0.03225806451612903,0.010241854659054675,0.022016209857074358,1765.5080855955637,2.68,0.0,0.0,0.0
NVDA,NVIDIA CORPORATION COM,20.001,$130.04,2587.9293777923585,129.38999938964844,0.03225806451612903,0.12202606274427022,0.0,0.0,0.0,0.08976799822814119,1903.800176582583,14.71
PANW,PALO ALTO NETWORKS INC COM USD0.0001,1.0,$194.92,194.30499267578125,194.30499267578125,0.03225806451612903,0.009161870270202647,0.023096194245926384,1852.113417903593,9.53,0.0,0.0,0.0
PEP,PEPSICO INC,1.35,$130.55,175.81090621948243,130.2303009033203,0.03225806451612903,0.00828983698611071,0.023968227530018323,1922.0428845996084,14.76,0.0,0.0,0.0
PG,PROCTER AND GAMBLE CO COM,1.12,$158.46,177.16159179687503,158.17999267578125,0.03225806451612903,0.008353524521183745,0.02390453999494529,1916.935699536737,12.12,0.0,0.0,0.0
SNPS,SYNOPSYS INC,0.4,$511.845,205.21201171875,513.030029296875,0.03225806451612903,0.009676158102595362,0.02258190641353367,1810.8720174851192,3.53,0.0,0.0,0.0
