Symbol,Description,Quantity,Last Price,Current Value,price,target_weight,current_weight,underweight,buy_allocation,shares_to_buy,overweight,sell_allocation_overweight,shares_to_sell
AAPL,APPLE INC,10.058,$195.7401,1970.0604108886719,195.8699951171875,0.03225806451612903,0.07560999340988976,0.0,0.0,0.0,0.04335192889376073,1129.5586072368005,5.77
ADP,AUTOMATIC DATA PROCESSING INC COM,0.62,$320.225,198.5395037841797,320.2250061035156,0.03225806451612903,0.007619852919105694,0.024638211597023337,226.19325845184127,0.71,0.0,0.0,0.0
AMZN,AMAZON.COM INC,1.0,$201.0471,200.99940490722656,200.99940490722656,0.03225806451612903,0.007714262769014132,0.024543801747114898,225.32652055990275,1.12,0.0,0.0,0.0
ANET,ARISTA NETWORKS INC COM SHS,100.0,$91.135,9112.5,91.125,0.03225806451612903,0.349733470679116,0.0,0.0,0.0,0.317475406162987,8271.99819634813,90.78
AVGO,BROADCOM INC COM,1.0,$229.28,229.23500061035156,229.23500061035156,0.03225806451612903,0.008797931672382719,0.02346013284374631,215.37780332567428,0.94,0.0,0.0,0.0
BSX,BOSTON SCIENTIFIC CORP,1.7,$104.37,177.36100311279296,104.33000183105469,0.03225806451612903,0.006807032008973012,0.02545103250715602,233.65543197351502,2.24,0.0,0.0,0.0
CDNS,CADENCE DESIGN SYSTEMS INC COM USD0.01,0.61,$314.63,191.845,314.5,0.03225806451612903,0.007362921007674623,0.02489514350845441,228.5520443571411,0.73,0.0,0.0,0.0
ETN,EATON CORPORATION PLC,0.62,$319.52,197.9970037841797,319.3500061035156,0.03225806451612903,0.007599032023869106,0.024659032492259925,226.38440650326956,0.71,0.0,0.0,0.0
GOOGL,ALPHABET INC CAP STK CL A,10.012,$169.02,1690.2259133300781,168.82000732421875,0.03225806451612903,0.06487007680666193,0.0,0.0,0.0,0.0326120122905329,849.7241096782068,5.03
HD,HOME DEPOT INC,0.51,$362.45,184.83165435791017,362.4150085449219,0.03225806451612903,0.0070937520954682766,0.025164312420660754,231.02317311931338,0.64,0.0,0.0,0.0
KO,COCA-COLA CO,17.51,$71.685,1255.349653930664,71.69329833984375,0.03225806451612903,0.048179730193141104,0.0,0.0,0.0,0.015921665677012073,414.8478502787929,5.79
LIN,LINDE PLC COM EUR0.001,0.4,$457.20,182.8800048828125,457.20001220703125,0.03225806451612903,0.007018848705128087,0.025239215811000942,231.71083025154553,0.51,0.0,0.0,0.0
LOW,LOWES COMPANIES INC COM USD0.50,0.82,$220.96,181.22,221.0,0.03225806451612903,0.006955138497280592,0.02530292601884844,232.29572739202672,1.05,0.0,0.0,0.0
MA,MASTERCARD INCORPORATED CL A,0.35,$564.85,197.6974914550781,564.8499755859375,0.03225806451612903,0.007587536881332163,0.02467052763479687,226.489938665641,0.4,0.0,0.0,0.0
META,META PLATFORMS INC CLASS A COMMON STOCK,0.33,$628.60,207.4875,628.75,0.03225806451612903,0.007963272811800612,0.024294791704328418,223.04046206319308,0.35,0.0,0.0,0.0
NVDA,NVIDIA CORPORATION COM,15.001,$131.01,1964.380904220581,130.9499969482422,0.03225806451612903,0.07539201661112141,0.0,0.0,0.0,0.04313395209499238,1123.8791005687096,8.58
PANW,PALO ALTO NETWORKS INC COM USD0.0001,1.0,$185.73,185.67999267578125,185.67999267578125,0.03225806451612903,0.007126310921720034,0.025131753594408997,230.72426396463507,1.24,0.0,0.0,0.0
PEP,PEPSICO INC,11.35,$128.89,1462.56100692749,128.86000061035156,0.03225806451612903,0.05613240461264128,0.0,0.0,0.0,0.02387434009651225,622.0592032756189,4.83
PG,PROCTER AND GAMBLE CO COM,7.12,$164.97,1174.8,165.0,0.03225806451612903,0.04508827230220307,0.0,0.0,0.0,0.012830207786074035,334.2981963481288,2.03
SNPS,SYNOPSYS INC,0.4,$497.39,198.956005859375,497.3900146484375,0.03225806451612903,0.0076358380731581625,0.02462222644297087,226.04650534568566,0.45,0.0,0.0,0.0
SYK,STRYKER CORPORATION COM,0.5,$376.405,188.1999969482422,376.3999938964844,0.03225806451612903,0.007223027502277945,0.025035037013851087,229.8363489300326,0.61,0.0,0.0,0.0
TJX,TJX COMPANIES INC,1.42,$126.76,179.9139956665039,126.69999694824219,0.03225806451612903,0.006905014664273672,0.02535304985185536,232.75589362890167,1.84,0.0,0.0,0.0
UBER,UBER TECHNOLOGIES INC COM,2.5,$87.93,219.82500076293945,87.93000030517578,0.03225806451612903,0.00843678029726882,0.023821284218860213,218.69338514092445,2.49,0.0,0.0,0.0
V,VISA INC,0.53,$354.195,187.71010711669922,354.1700134277344,0.03225806451612903,0.0072042257606004766,0.025053838755528555,230.00895996545003,0.65,0.0,0.0,0.0
WMT,WALMART INC COM,1.89,$95.84,181.15649711608887,95.8499984741211,0.03225806451612903,0.006952701286417671,0.02530536322971136,232.31810241971274,2.42,0.0,0.0,0.0
RSG,REPUBLIC SERVICES INC,8.73,$252.21,2201.7933586120607,252.2100067138672,0.03225806451612903,0.08450379511940997,0.0,0.0,0.0,0.05224573060328094,1361.2915549601894,5.4
MCO,MOODYS CORP COM USD0.01,0.4,$469.725,187.89000244140627,469.7250061035156,0.03225806451612903,0.007211130058682094,0.025046934457446938,229.9455744524937,0.49,0.0,0.0,0.0
ASML,ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012,0.3,$727.57,218.33999633789062,727.7999877929688,0.03225806451612903,0.008379786524808336,0.023878277991320696,219.21662145836305,0.3,0.0,0.0,0.0
CTAS,CINTAS CORP,0.87,$221.66,192.84420318603514,221.66000366210938,0.03225806451612903,0.00740126995671887,0.024856794559410162,228.19997847328574,1.03,0.0,0.0,0.0
PWR,QUANTA SERVICES COM USD0.00001,0.63,$333.11,209.85929077148438,333.1099853515625,0.03225806451612903,0.008054301027793581,0.02420376348833545,222.20476955745153,0.67,0.0,0.0,0.0
LLY,ELI LILLY &CO COM,1.3,$710.07,923.4160095214844,710.3200073242188,0.03225806451612903,0.03544027280006676,0.0,0.0,0.0,0.0031822082839377264,82.91420586961314,0.12
