Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio
"['GOOGL', 'NVDA', 'JPM', 'PG', 'KO']",44982.07580615874,-0.3644855473078237,0.24571446457575397,1.217437919157103,2.1532679492089644
"['AAPL', 'NVDA', 'JPM', 'PG', 'KO']",44542.28194676613,-0.340358932709003,0.24716091279708108,1.2031743748997703,2.2806948316406874
"['MSFT', 'NVDA', 'JPM', 'PG', 'KO']",44661.87666552924,-0.36045884843817516,0.24761653326144956,1.2031571737666764,2.27206426385296
"['NVDA', 'JPM', 'V', 'PG', 'KO']",43918.6983612989,-0.3463358733768072,0.24433454703131857,1.2018211364093434,2.388135343777918
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'KO']",46544.99865718154,-0.35677903839831326,0.2591721352766601,1.1951778754451847,2.0057582912867553
"['GOOGL', 'NVDA', 'JPM', 'V', 'KO']",45921.41507171431,-0.3648453291403502,0.2565749117439365,1.1933781417468703,2.083674246503913
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'KO']",46664.59337594465,-0.3819558745343471,0.26044803409845824,1.1922257163934895,2.0229630569185955
"['MSFT', 'NVDA', 'JPM', 'V', 'KO']",45601.215931084815,-0.3609545359572633,0.25732796259410073,1.1842807881250224,2.3053586160368384
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'KO']",46224.79951655204,-0.35289946637090713,0.26076248041654504,1.1832129984316806,2.1280503653010734
"['GOOGL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",40635.91480423873,-0.345055916963081,0.23252111206897275,1.1823256548760335,2.1984876796404564
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'PG', 'KO']",41155.56779212809,-0.3402363044644343,0.23570077532886177,1.1810482866266172,2.051970571564883
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'PG']",46159.286633380034,-0.3785107660878229,0.26128683733596175,1.1809356827062145,1.9436956199099096
"['AAPL', 'NVDA', 'JPM', 'V', 'KO']",45481.621212321705,-0.33750334337682303,0.257831020106296,1.1806187073340497,2.2856326741599977
"['GOOGL', 'NVDA', 'JPM', 'V', 'PG']",45535.70304791281,-0.38842933968935733,0.2583312777169615,1.1801646806498136,2.044731638092104
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'PG', 'KO']",41255.23005776401,-0.3560544898531531,0.23670875356480278,1.1786739237946968,2.065544569764319
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'PG']",46278.881352143144,-0.4040086649332973,0.26290251042135787,1.1768730287991687,1.979836798792172
"['MSFT', 'NVDA', 'JPM', 'V', 'PG', 'KO']",40369.08218704748,-0.34007386840994924,0.23393595523350053,1.1700971251180399,2.340339849966214
"['MSFT', 'NVDA', 'JPM', 'V', 'PG']",45215.50390728331,-0.38554517716100634,0.25962110369914426,1.1691712516301453,2.2424962084558
"['GOOGL', 'NVDA', 'V', 'PG', 'KO']",43149.659388468535,-0.3459933704014562,0.24933313650566147,1.1681434251384837,2.2602763056069777
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'PG']",45839.087492750536,-0.37548302178883886,0.26333984876597744,1.167488428849933,2.100374300181319
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'PG', 'KO']",40888.73517493683,-0.33545561062007406,0.2376560341970897,1.166943989006752,2.196516670069428
"['AAPL', 'NVDA', 'JPM', 'V', 'PG']",45095.9091885202,-0.36205961567983164,0.2598605444869046,1.1665247904512686,2.2263625356566625
"['AAPL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",40269.41992141156,-0.32331993259826647,0.23437383583280202,1.166524482067231,2.2999455528953723
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'KO']",42038.01277906032,-0.3545410186742008,0.24548108257660153,1.1612032545595419,2.0295133680184945
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'V', 'KO']",41938.3505134244,-0.33789810824232897,0.24517585503532116,1.1606380973467605,2.011854581434079
"['AAPL', 'GOOGL', 'NVDA', 'PG', 'KO']",43773.24297393576,-0.3402650193535467,0.2548784681275872,1.1600077544957559,2.1483933215021236
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'KO']",42557.66576694968,-0.3486780088571346,0.2488966483133717,1.1591504006233635,1.9511622772036386
"['MSFT', 'GOOGL', 'NVDA', 'PG', 'KO']",43892.83769269887,-0.35889153896375153,0.25617448019761113,1.1570293297897234,2.1794100293023715
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'V']",47098.62589893561,-0.3793298457860931,0.2736242119837944,1.1549844941483143,1.9073467253572731
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM']",47841.80420316594,-0.3945547075927379,0.27741904952352175,1.154696449748806,1.918904217190331
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'V']",47218.22061769872,-0.4053819789655999,0.27444183329896876,1.1540579629069116,1.9488284454873612
"['MSFT', 'NVDA', 'V', 'PG', 'KO']",42829.46024783903,-0.3400747287206984,0.25212569061564993,1.1510441349458334,2.5133423975078912
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",38062.3557344604,-0.3400068787183124,0.2257369291950127,1.1508637085920423,2.091359776205677
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'V', 'KO']",41671.51789623314,-0.3329243918915488,0.24633762496510417,1.150349465774093,2.2026336209161426
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",37976.93093534389,-0.32597418605747286,0.22552980633702271,1.1500026400335717,2.0487847987330863
"['AAPL', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG']",41616.92382692314,-0.35799750305008315,0.24652846433647782,1.14911484685272,1.9816552823681985
"['MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG']",41716.58609255907,-0.37466488289168426,0.24707086035126477,1.1488016702912156,1.9903809535599994
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'PG', 'KO']",38507.7725812227,-0.3361121841489063,0.2293761417799706,1.1469674465935737,2.0419545701002373
"['AAPL', 'NVDA', 'V', 'PG', 'KO']",42709.86552907592,-0.3201368960262702,0.25290112448041324,1.1464594474075749,2.4386523584377495
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'PG']",42236.239080448424,-0.367833484675837,0.25073349350363905,1.1461617315711337,1.9928034120125624
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'V']",46778.42675830611,-0.37626916028080104,0.27480952031851147,1.1453277941972613,2.113064027413154
"['MSFT', 'GOOGL', 'NVDA', 'V', 'KO']",44832.176958254444,-0.35682043522187085,0.2650298259003123,1.143943483896786,2.058970857275668
"['AMZN', 'NVDA', 'JPM', 'PG', 'KO']",43110.10668827173,-0.37176736344321987,0.25606130546796096,1.1432888006655302,2.005398040503837
"['AAPL', 'GOOGL', 'NVDA', 'V', 'KO']",44712.582239491334,-0.3375146766046443,0.2647103785593538,1.1432878797605466,2.121485073572606
"['AAPL', 'MSFT', 'NVDA', 'PG', 'KO']",43453.04383330626,-0.3346283631536637,0.2584771711868294,1.1407223823952974,2.412371108545296
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'V', 'PG', 'KO']",37748.217263465674,-0.32117673637224226,0.22708932561571116,1.137612707735538,2.1542738969096846
"['AAPL', 'MSFT', 'NVDA', 'JPM', 'V', 'PG']",41350.09120973189,-0.35376525790932944,0.2480586835428539,1.1375415031705927,2.1419664390993662
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'KO']",45455.76054372167,-0.35011797347246665,0.27054127769435254,1.1367280853696757,2.047596995261399
"['MSFT', 'GOOGL', 'NVDA', 'V', 'PG', 'KO']",39728.21637635551,-0.339996941333358,0.2401220570966378,1.1321783137809553,2.2099067438361275
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'KO']",39178.72919947668,-0.33399533611977733,0.23728908914763713,1.1316283297761633,1.9679957637050316
"['GOOGL', 'AMZN', 'NVDA', 'JPM', 'KO']",45112.82339868715,-0.39312186514353215,0.2707099166012782,1.1314357312861598,1.805513234405759
"['AAPL', 'GOOGL', 'NVDA', 'V', 'PG', 'KO']",39628.55411071958,-0.3237975268509537,0.23991272007388487,1.131233836747643,2.138791180684112
"['AAPL', 'MSFT', 'NVDA', 'V', 'KO']",44392.383098861836,-0.33160881224520433,0.2671582207844087,1.128935675170667,2.363407317065872
"['AAPL', 'GOOGL', 'NVDA', 'V', 'PG']",44326.87021568983,-0.36114913228979817,0.26710526199411827,1.1285289923748516,2.0903892569061857
"['MSFT', 'GOOGL', 'NVDA', 'V', 'PG']",44446.46493445294,-0.38084616966558665,0.26776901555740173,1.1280525487412683,2.1150030837172893
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'V']",43019.02180174473,-0.3675606750156222,0.2606734036326363,1.1268401543627478,1.882612815364821
"['GOOGL', 'AMZN', 'NVDA', 'JPM', 'PG', 'KO']",39962.08841004942,-0.3632597867682271,0.24360606136390658,1.125238074854001,1.845084591592735
"['MSFT', 'AMZN', 'NVDA', 'JPM', 'KO']",44792.624258057636,-0.3905029642823148,0.2710123167004036,1.1242376109956629,2.0105137428621367
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'PG', 'KO']",40247.86936424486,-0.3355294488027275,0.24567978928976777,1.1231124141876703,2.1354249370251903
"['AMZN', 'NVDA', 'JPM', 'V', 'KO']",44049.4459538273,-0.3725551407442087,0.26749546658606266,1.1225193341609243,2.0009713511625677
"['AAPL', 'MSFT', 'GOOGL', 'NVDA', 'JPM', 'V', 'PG', 'KO']",36057.43973289969,-0.323830433871592,0.220609965029309,1.1218978502140322,2.048135807644856
